Date,Type,Category,Amount,Account,Month
2024-12-21,Expense,Shopping,18628,Wallet,Dec-2024
2024-04-03,Income,Bonus,93766,Credit Card,Apr-2024
2024-10-15,Investment,Stocks,41688,UPI,Oct-2024
2024-01-15,Investment,Gold,15426,Credit Card,Jan-2024
2024-09-09,Investment,Gold,31692,Bank,Sep-2024
2024-12-13,Expense,Dining,4959,Wallet,Dec-2024
2024-01-26,Investment,Stocks,35286,UPI,Jan-2024
2024-08-19,Expense,Rent,1679,Credit Card,Aug-2024
2024-02-20,Expense,Transport,5909,Wallet,Feb-2024
2024-05-26,Income,Bonus,18019,Credit Card,May-2024
2024-02-01,Expense,Shopping,7467,Bank,Feb-2024
2024-09-10,Expense,Shopping,8234,Wallet,Sep-2024
2024-04-21,Expense,Transport,5195,Wallet,Apr-2024
2024-06-26,Expense,Transport,5931,Credit Card,Jun-2024
2024-11-28,Expense,Groceries,14416,Wallet,Nov-2024
2024-03-31,Expense,Dining,11437,Bank,Mar-2024
2024-06-15,Expense,Groceries,12525,Bank,Jun-2024
2024-02-16,Income,Freelance,62742,Bank,Feb-2024
2024-11-02,Expense,Utilities,12556,Credit Card,Nov-2024
2024-12-22,Income,Interest,44823,Bank,Dec-2024
2024-04-26,Investment,Mutual Funds,37618,UPI,Apr-2024
2024-04-24,Expense,Rent,972,Credit Card,Apr-2024
2024-06-10,Expense,Dining,13252,Credit Card,Jun-2024
2024-09-01,Expense,Entertainment,8413,UPI,Sep-2024
2024-12-28,Income,Freelance,14277,Wallet,Dec-2024
2024-06-03,Expense,Shopping,12985,Credit Card,Jun-2024
2024-12-12,Expense,Shopping,6840,Wallet,Dec-2024
2024-04-01,Income,Salary,72385,Credit Card,Apr-2024
2024-04-26,Expense,Groceries,3002,Wallet,Apr-2024
2024-02-05,Expense,Entertainment,12029,Credit Card,Feb-2024
2024-07-21,Investment,Stocks,11767,Bank,Jul-2024
2024-10-13,Expense,Rent,6244,Bank,Oct-2024
2024-04-06,Investment,Mutual Funds,22143,Credit Card,Apr-2024
2024-07-02,Expense,Groceries,10214,Credit Card,Jul-2024
2024-06-06,Expense,Groceries,6963,UPI,Jun-2024
2024-05-25,Expense,Groceries,3511,Credit Card,May-2024
2024-12-09,Expense,Shopping,18565,UPI,Dec-2024
2024-07-23,Expense,Shopping,13719,UPI,Jul-2024
2024-01-09,Income,Freelance,9615,Credit Card,Jan-2024
2024-05-04,Expense,Rent,3237,UPI,May-2024
2024-10-15,Income,Interest,16875,Wallet,Oct-2024
2024-08-09,Investment,Mutual Funds,27877,Bank,Aug-2024
2024-04-03,Expense,Shopping,13176,Bank,Apr-2024
2024-05-21,Investment,Gold,47385,Bank,May-2024
2024-02-12,Investment,Mutual Funds,8195,Bank,Feb-2024
2024-03-25,Expense,Dining,16805,Wallet,Mar-2024
2024-04-25,Expense,Dining,10237,Bank,Apr-2024
2024-01-25,Expense,Rent,13358,Bank,Jan-2024
2024-03-14,Expense,Entertainment,19841,Wallet,Mar-2024
2024-01-25,Income,Bonus,30203,Credit Card,Jan-2024
2024-06-17,Investment,Stocks,6614,Bank,Jun-2024
2024-02-21,Income,Freelance,58232,Credit Card,Feb-2024
2024-02-29,Expense,Transport,7714,Wallet,Feb-2024
2024-08-21,Expense,Dining,18376,Credit Card,Aug-2024
2024-02-28,Expense,Rent,17075,Wallet,Feb-2024
2024-01-20,Income,Salary,17425,UPI,Jan-2024
2024-04-10,Expense,Transport,19760,Bank,Apr-2024
2024-07-24,Expense,Groceries,8280,UPI,Jul-2024
2024-01-04,Expense,Entertainment,11596,Credit Card,Jan-2024
2024-07-19,Expense,Dining,7205,Bank,Jul-2024
2024-06-15,Investment,Gold,4852,Wallet,Jun-2024
2024-09-30,Expense,Utilities,2560,Wallet,Sep-2024
2024-11-07,Income,Salary,36958,Credit Card,Nov-2024
2024-10-11,Expense,Utilities,2281,Wallet,Oct-2024
2024-12-07,Income,Freelance,88016,Wallet,Dec-2024
2024-03-19,Income,Salary,42380,UPI,Mar-2024
2024-01-17,Expense,Transport,15357,UPI,Jan-2024
2024-02-18,Investment,Gold,6985,Credit Card,Feb-2024
2024-03-08,Investment,Mutual Funds,24137,Bank,Mar-2024
2024-04-03,Expense,Groceries,760,Bank,Apr-2024
2024-02-22,Expense,Dining,1923,Wallet,Feb-2024
2024-01-09,Investment,Stocks,29690,Bank,Jan-2024
2024-09-21,Income,Interest,77060,UPI,Sep-2024
2024-10-03,Expense,Rent,11981,UPI,Oct-2024
2024-06-05,Income,Bonus,72315,Bank,Jun-2024
2024-01-25,Investment,Stocks,32985,Wallet,Jan-2024
2024-06-08,Income,Freelance,63287,Credit Card,Jun-2024
2024-06-20,Expense,Shopping,6144,UPI,Jun-2024
2024-09-25,Investment,FD,8231,Credit Card,Sep-2024
2024-02-29,Investment,Stocks,36880,Credit Card,Feb-2024
2024-05-27,Expense,Shopping,6891,Bank,May-2024
2024-07-15,Expense,Dining,649,UPI,Jul-2024
2024-11-19,Expense,Entertainment,10438,UPI,Nov-2024
2024-12-05,Expense,Transport,3188,UPI,Dec-2024
2024-10-11,Expense,Entertainment,8779,Bank,Oct-2024
2024-07-18,Expense,Dining,2885,Wallet,Jul-2024
2024-10-26,Expense,Groceries,6657,UPI,Oct-2024
2024-05-02,Expense,Groceries,4267,Wallet,May-2024
2024-09-10,Income,Salary,54654,Bank,Sep-2024
2024-10-02,Expense,Entertainment,10768,Bank,Oct-2024
2024-03-10,Income,Salary,46012,Wallet,Mar-2024
2024-07-15,Expense,Transport,7310,UPI,Jul-2024
2024-09-02,Expense,Entertainment,14085,Wallet,Sep-2024
2024-07-29,Expense,Entertainment,13811,Wallet,Jul-2024
2024-10-08,Expense,Rent,5692,UPI,Oct-2024
2024-07-10,Investment,Stocks,21475,Credit Card,Jul-2024
2024-06-21,Investment,Gold,44632,Credit Card,Jun-2024
2024-08-28,Expense,Shopping,483,Wallet,Aug-2024
2024-11-12,Income,Salary,48765,Wallet,Nov-2024
2024-05-12,Expense,Rent,17534,Bank,May-2024
2024-11-16,Expense,Groceries,5073,UPI,Nov-2024
2024-09-08,Expense,Shopping,13389,Bank,Sep-2024
2024-01-21,Expense,Transport,15422,Credit Card,Jan-2024
2024-11-01,Investment,FD,19690,Bank,Nov-2024
2024-01-25,Expense,Groceries,771,UPI,Jan-2024
2024-07-28,Expense,Shopping,4351,Wallet,Jul-2024
2024-08-05,Expense,Entertainment,3721,UPI,Aug-2024
2024-11-22,Expense,Dining,4100,Wallet,Nov-2024
2024-03-08,Expense,Entertainment,1659,UPI,Mar-2024
2024-02-13,Expense,Shopping,17407,UPI,Feb-2024
2024-02-04,Expense,Groceries,9318,Wallet,Feb-2024
2024-05-29,Investment,FD,3837,Credit Card,May-2024
2024-01-27,Expense,Rent,4196,Bank,Jan-2024
2024-02-21,Investment,Stocks,31970,Bank,Feb-2024
2024-08-25,Expense,Dining,18737,Bank,Aug-2024
2024-08-11,Expense,Shopping,6382,Wallet,Aug-2024
2024-04-17,Investment,Gold,31848,UPI,Apr-2024
2024-12-17,Income,Interest,61061,UPI,Dec-2024
2024-07-23,Expense,Shopping,1176,Wallet,Jul-2024
2024-01-14,Income,Freelance,89654,UPI,Jan-2024
2024-02-08,Expense,Entertainment,4119,Credit Card,Feb-2024
2024-02-17,Expense,Groceries,15999,Credit Card,Feb-2024
2024-01-12,Income,Interest,74788,Bank,Jan-2024
2024-07-08,Expense,Dining,1938,UPI,Jul-2024
2024-09-28,Expense,Entertainment,3803,Wallet,Sep-2024
2024-01-23,Investment,Stocks,16729,Wallet,Jan-2024
2024-07-19,Expense,Transport,1499,Wallet,Jul-2024
2024-12-25,Expense,Utilities,12407,UPI,Dec-2024
2024-03-16,Expense,Shopping,12315,Wallet,Mar-2024
2024-12-04,Expense,Rent,1080,Credit Card,Dec-2024
2024-07-25,Income,Bonus,61192,Bank,Jul-2024
2024-03-14,Investment,Mutual Funds,5148,UPI,Mar-2024
2024-06-13,Income,Interest,60008,Wallet,Jun-2024
2024-08-21,Expense,Shopping,12456,UPI,Aug-2024
2024-10-01,Income,Salary,69899,UPI,Oct-2024
2024-11-18,Expense,Rent,16400,Bank,Nov-2024
2024-12-07,Income,Freelance,84587,Wallet,Dec-2024
2024-07-08,Expense,Rent,19142,Wallet,Jul-2024
2024-06-06,Expense,Groceries,18238,Wallet,Jun-2024
2024-10-26,Expense,Rent,8363,UPI,Oct-2024
2024-12-19,Expense,Entertainment,4054,Bank,Dec-2024
2024-04-28,Expense,Groceries,5613,Credit Card,Apr-2024
2024-05-31,Expense,Entertainment,1470,Wallet,May-2024
2024-11-12,Expense,Shopping,12115,Credit Card,Nov-2024
2024-09-18,Income,Salary,33711,UPI,Sep-2024
2024-04-02,Investment,FD,8376,UPI,Apr-2024
2024-11-14,Investment,FD,16130,Credit Card,Nov-2024
2024-05-26,Investment,Stocks,49624,UPI,May-2024
2024-08-12,Investment,FD,34512,Bank,Aug-2024
2024-08-31,Expense,Rent,8446,UPI,Aug-2024
2024-08-11,Income,Salary,10136,Bank,Aug-2024
2024-09-09,Income,Bonus,85439,UPI,Sep-2024
2024-03-03,Expense,Rent,10139,UPI,Mar-2024
2024-12-19,Investment,FD,11047,Wallet,Dec-2024
2024-12-31,Investment,Stocks,47064,Bank,Dec-2024
2024-05-21,Investment,Gold,12991,Wallet,May-2024
2024-10-26,Investment,Stocks,8718,UPI,Oct-2024
2024-10-23,Expense,Entertainment,15782,Credit Card,Oct-2024
2024-10-16,Expense,Transport,19818,Bank,Oct-2024
2024-12-21,Investment,Mutual Funds,40113,Bank,Dec-2024
2024-04-03,Expense,Dining,17310,Wallet,Apr-2024
2024-09-07,Expense,Groceries,7342,Wallet,Sep-2024
2024-07-25,Investment,FD,33680,Bank,Jul-2024
2024-08-19,Expense,Dining,6694,Credit Card,Aug-2024
2024-07-21,Investment,FD,30241,UPI,Jul-2024
2024-03-24,Expense,Shopping,16707,Wallet,Mar-2024
2024-04-20,Investment,Stocks,37482,Bank,Apr-2024
2024-08-08,Expense,Entertainment,16151,Credit Card,Aug-2024
2024-07-01,Investment,Gold,31936,Credit Card,Jul-2024
2024-02-01,Expense,Transport,6623,Wallet,Feb-2024
2024-09-09,Expense,Shopping,17957,UPI,Sep-2024
2024-12-12,Expense,Entertainment,13729,UPI,Dec-2024
2024-12-29,Expense,Transport,4241,UPI,Dec-2024
2024-01-24,Expense,Dining,3077,UPI,Jan-2024
2024-01-26,Income,Interest,57741,Credit Card,Jan-2024
2024-12-29,Expense,Dining,8178,Credit Card,Dec-2024
2024-04-28,Investment,FD,47170,Bank,Apr-2024
2024-11-26,Expense,Shopping,9609,Bank,Nov-2024
2024-08-31,Investment,FD,42157,UPI,Aug-2024
2024-09-29,Expense,Entertainment,2051,UPI,Sep-2024
2024-08-30,Expense,Groceries,18130,UPI,Aug-2024
2024-01-17,Expense,Transport,9672,UPI,Jan-2024
2024-04-01,Expense,Transport,16774,Wallet,Apr-2024
2024-07-08,Expense,Transport,14041,Bank,Jul-2024
2024-05-08,Expense,Utilities,2252,Credit Card,May-2024
2024-10-07,Income,Bonus,35972,Wallet,Oct-2024
2024-02-27,Investment,FD,30723,Bank,Feb-2024
2024-12-14,Investment,Gold,42866,Wallet,Dec-2024
2024-11-21,Expense,Groceries,13253,Bank,Nov-2024
2024-12-02,Investment,FD,10778,UPI,Dec-2024
2024-07-23,Expense,Transport,16043,Wallet,Jul-2024
2024-03-22,Expense,Groceries,10779,Bank,Mar-2024
2024-10-17,Income,Salary,52062,Wallet,Oct-2024
2024-07-03,Income,Bonus,81257,Wallet,Jul-2024
2024-06-26,Expense,Entertainment,10306,Bank,Jun-2024
2024-03-08,Expense,Entertainment,8804,Credit Card,Mar-2024
2024-03-01,Expense,Dining,8142,Credit Card,Mar-2024
2024-12-22,Income,Interest,5609,Credit Card,Dec-2024
2024-01-03,Expense,Rent,12472,UPI,Jan-2024
2024-02-27,Expense,Dining,5554,Wallet,Feb-2024
2024-09-01,Expense,Dining,1148,Bank,Sep-2024
2024-01-11,Income,Interest,12456,Wallet,Jan-2024
2024-11-26,Expense,Groceries,2070,UPI,Nov-2024
2024-10-13,Expense,Groceries,13770,Bank,Oct-2024
2024-03-16,Expense,Utilities,1735,Wallet,Mar-2024
2024-03-26,Investment,FD,1833,Credit Card,Mar-2024
2024-06-18,Investment,Stocks,29309,Credit Card,Jun-2024
2024-02-10,Expense,Dining,13519,Wallet,Feb-2024
2024-09-24,Expense,Utilities,18600,Bank,Sep-2024
2024-10-16,Expense,Shopping,15371,Credit Card,Oct-2024
2024-09-17,Income,Freelance,96094,UPI,Sep-2024
2024-10-25,Income,Bonus,93618,Credit Card,Oct-2024
2024-06-24,Expense,Utilities,14333,Wallet,Jun-2024
2024-10-02,Expense,Entertainment,8609,Wallet,Oct-2024
2024-11-04,Investment,Stocks,25231,UPI,Nov-2024
2024-12-22,Expense,Entertainment,17426,Bank,Dec-2024
2024-05-29,Investment,Gold,5574,Credit Card,May-2024
2024-07-14,Investment,FD,9292,Wallet,Jul-2024
2024-05-05,Investment,Mutual Funds,17447,Bank,May-2024
2024-01-01,Expense,Dining,11591,Credit Card,Jan-2024
2024-06-08,Investment,Stocks,6922,Bank,Jun-2024
2024-02-27,Income,Salary,93660,Bank,Feb-2024
2024-12-04,Expense,Dining,1278,Bank,Dec-2024
2024-08-15,Investment,Gold,37233,UPI,Aug-2024
2024-11-15,Investment,Mutual Funds,24389,Credit Card,Nov-2024
2024-01-22,Expense,Utilities,5112,Bank,Jan-2024
2024-11-09,Expense,Groceries,5618,Bank,Nov-2024
2024-09-26,Income,Bonus,69153,UPI,Sep-2024
2024-09-05,Expense,Shopping,12127,Bank,Sep-2024
2024-11-06,Expense,Groceries,2628,UPI,Nov-2024
2024-06-08,Expense,Transport,716,UPI,Jun-2024
2024-10-18,Expense,Groceries,9195,Credit Card,Oct-2024
2024-11-12,Expense,Entertainment,8706,Bank,Nov-2024
2024-09-29,Expense,Dining,8368,Credit Card,Sep-2024
2024-02-18,Expense,Utilities,3961,Wallet,Feb-2024
2024-07-24,Expense,Entertainment,8186,Bank,Jul-2024
2024-04-24,Expense,Groceries,15751,Wallet,Apr-2024
2024-03-09,Expense,Shopping,4004,Credit Card,Mar-2024
2024-10-23,Expense,Shopping,12588,Bank,Oct-2024
2024-11-08,Expense,Dining,4183,Wallet,Nov-2024
2024-04-11,Income,Salary,78863,Wallet,Apr-2024
2024-11-29,Expense,Rent,11700,Bank,Nov-2024
2024-03-16,Income,Interest,43516,UPI,Mar-2024
2024-07-20,Investment,FD,9817,Bank,Jul-2024
2024-04-24,Expense,Utilities,17184,Wallet,Apr-2024
2024-08-02,Expense,Transport,11163,Bank,Aug-2024
2024-11-11,Expense,Rent,2456,Credit Card,Nov-2024
2024-01-18,Income,Bonus,54481,Credit Card,Jan-2024
2024-08-07,Expense,Rent,585,Wallet,Aug-2024
2024-06-26,Investment,Gold,23707,Bank,Jun-2024
2024-11-01,Expense,Utilities,10875,UPI,Nov-2024
2024-03-21,Expense,Utilities,10593,Wallet,Mar-2024
2024-09-24,Expense,Groceries,5320,Bank,Sep-2024
2024-08-23,Expense,Entertainment,14337,Wallet,Aug-2024
2024-12-07,Expense,Shopping,15433,Bank,Dec-2024
2024-10-12,Expense,Entertainment,508,Bank,Oct-2024
2024-03-06,Expense,Rent,12537,Wallet,Mar-2024
2024-04-06,Investment,Stocks,32586,Credit Card,Apr-2024
2024-12-21,Investment,Mutual Funds,10818,Credit Card,Dec-2024
2024-11-16,Investment,Gold,47627,Wallet,Nov-2024
2024-12-26,Expense,Transport,5479,Credit Card,Dec-2024
2024-06-15,Investment,Stocks,45843,Wallet,Jun-2024
2024-05-29,Income,Salary,77348,Credit Card,May-2024
2024-01-24,Expense,Transport,17993,Bank,Jan-2024
2024-09-17,Expense,Rent,10642,Bank,Sep-2024
2024-09-17,Expense,Utilities,14141,Bank,Sep-2024
2024-04-19,Income,Freelance,77136,Credit Card,Apr-2024
2024-01-08,Expense,Shopping,6693,Wallet,Jan-2024
2024-10-22,Expense,Groceries,7623,Wallet,Oct-2024
2024-07-03,Investment,Gold,10998,UPI,Jul-2024
2024-01-02,Expense,Utilities,14346,Bank,Jan-2024
2024-07-16,Expense,Entertainment,4111,Credit Card,Jul-2024
2024-12-09,Investment,Stocks,11448,Wallet,Dec-2024
2024-12-20,Income,Freelance,83709,UPI,Dec-2024
2024-10-15,Investment,Mutual Funds,4509,Credit Card,Oct-2024
2024-10-05,Expense,Entertainment,15122,Bank,Oct-2024
2024-11-06,Expense,Dining,7987,Credit Card,Nov-2024
2024-02-11,Income,Interest,65894,UPI,Feb-2024
2024-01-01,Income,Salary,31275,Bank,Jan-2024
2024-06-24,Expense,Utilities,4274,Credit Card,Jun-2024
2024-07-27,Expense,Utilities,5997,UPI,Jul-2024
2024-09-23,Investment,Mutual Funds,4529,Credit Card,Sep-2024
2024-09-23,Investment,FD,8919,Wallet,Sep-2024
2024-04-22,Expense,Utilities,12255,Wallet,Apr-2024
2024-01-29,Expense,Shopping,17050,Credit Card,Jan-2024
2024-04-21,Expense,Shopping,12651,Wallet,Apr-2024
2024-12-27,Investment,Mutual Funds,21024,Credit Card,Dec-2024
2024-09-21,Expense,Shopping,5112,Bank,Sep-2024
2024-06-21,Expense,Groceries,11445,Wallet,Jun-2024
2024-01-21,Investment,Mutual Funds,6460,Bank,Jan-2024
2024-11-28,Income,Salary,51681,UPI,Nov-2024
2024-09-02,Expense,Dining,6179,Bank,Sep-2024
2024-01-15,Expense,Groceries,11039,Bank,Jan-2024
2024-07-08,Investment,FD,13762,Wallet,Jul-2024
2024-02-02,Investment,Gold,22715,Bank,Feb-2024
2024-06-23,Expense,Shopping,19559,Credit Card,Jun-2024
2024-12-18,Expense,Shopping,8127,Bank,Dec-2024
2024-09-25,Expense,Shopping,7743,Bank,Sep-2024
2024-08-15,Expense,Utilities,16105,Wallet,Aug-2024
2024-02-21,Investment,Stocks,7932,UPI,Feb-2024
2024-05-16,Investment,Mutual Funds,29849,UPI,May-2024
2024-02-05,Expense,Shopping,902,Bank,Feb-2024
2024-08-08,Expense,Shopping,12063,Wallet,Aug-2024
2024-08-14,Expense,Shopping,5645,Wallet,Aug-2024
2024-04-01,Expense,Groceries,19577,Credit Card,Apr-2024
2024-09-22,Expense,Groceries,12712,Bank,Sep-2024
2024-08-24,Investment,Mutual Funds,34771,Credit Card,Aug-2024
2024-09-08,Income,Freelance,95142,Bank,Sep-2024
2024-02-05,Expense,Dining,8515,Credit Card,Feb-2024
2024-11-14,Income,Interest,91582,Credit Card,Nov-2024
2024-07-19,Expense,Transport,12708,Credit Card,Jul-2024
2024-05-26,Expense,Utilities,4680,Wallet,May-2024
2024-04-09,Expense,Utilities,16363,Credit Card,Apr-2024
2024-01-01,Income,Freelance,60863,Credit Card,Jan-2024
2024-10-11,Investment,Stocks,3328,Bank,Oct-2024
2024-03-03,Expense,Rent,16659,UPI,Mar-2024
2024-09-14,Expense,Rent,4114,Credit Card,Sep-2024
2024-11-14,Investment,Mutual Funds,1877,UPI,Nov-2024
2024-08-06,Expense,Shopping,14786,Bank,Aug-2024
2024-09-20,Expense,Transport,17359,Bank,Sep-2024
2024-12-26,Income,Freelance,74094,Bank,Dec-2024
2024-12-23,Income,Freelance,22551,UPI,Dec-2024
2024-06-21,Income,Interest,11027,Credit Card,Jun-2024
2024-03-11,Expense,Shopping,18114,Wallet,Mar-2024
2024-03-07,Expense,Dining,12493,Credit Card,Mar-2024
2024-08-15,Expense,Utilities,16235,Wallet,Aug-2024
2024-10-16,Income,Interest,15822,UPI,Oct-2024
2024-01-03,Expense,Entertainment,4017,UPI,Jan-2024
2024-05-12,Investment,Stocks,32995,Credit Card,May-2024
2024-02-20,Expense,Dining,568,UPI,Feb-2024
2024-09-13,Investment,Stocks,20214,UPI,Sep-2024
2024-05-15,Expense,Groceries,16871,Wallet,May-2024
2024-01-23,Income,Salary,99334,UPI,Jan-2024
2024-05-17,Income,Freelance,41660,Credit Card,May-2024
2024-11-10,Expense,Entertainment,12896,Credit Card,Nov-2024
2024-09-12,Expense,Rent,3126,Bank,Sep-2024
2024-12-11,Investment,Mutual Funds,18118,Credit Card,Dec-2024
2024-07-10,Investment,Mutual Funds,19728,Bank,Jul-2024
2024-12-06,Investment,FD,16586,Wallet,Dec-2024
2024-09-03,Expense,Dining,12694,Credit Card,Sep-2024
2024-07-19,Expense,Shopping,11879,Wallet,Jul-2024
2024-02-13,Expense,Shopping,4822,UPI,Feb-2024
2024-09-07,Expense,Dining,13248,Credit Card,Sep-2024
2024-10-16,Expense,Rent,16478,UPI,Oct-2024
2024-03-21,Income,Interest,13596,Wallet,Mar-2024
2024-05-22,Investment,Gold,40589,UPI,May-2024
2024-06-06,Expense,Shopping,19443,Credit Card,Jun-2024
2024-04-08,Expense,Entertainment,12035,UPI,Apr-2024
2024-04-11,Investment,Stocks,26532,Wallet,Apr-2024
2024-02-15,Income,Salary,46480,UPI,Feb-2024
2024-05-17,Expense,Entertainment,6650,Credit Card,May-2024
2024-01-26,Expense,Dining,10891,Wallet,Jan-2024
2024-02-09,Income,Freelance,92157,Bank,Feb-2024
2024-04-22,Expense,Shopping,11243,Bank,Apr-2024
2024-08-05,Expense,Dining,12722,Credit Card,Aug-2024
2024-08-30,Expense,Shopping,17015,Credit Card,Aug-2024
2024-02-28,Expense,Groceries,5577,UPI,Feb-2024
2024-06-09,Expense,Groceries,7097,UPI,Jun-2024
2024-02-07,Income,Salary,38090,UPI,Feb-2024
2024-12-08,Income,Salary,71927,Credit Card,Dec-2024
2024-11-18,Expense,Utilities,6444,Wallet,Nov-2024
2024-12-27,Income,Interest,36087,Wallet,Dec-2024
2024-08-06,Expense,Rent,3917,UPI,Aug-2024
2024-07-24,Expense,Dining,7871,Bank,Jul-2024
2024-12-11,Expense,Groceries,5979,Credit Card,Dec-2024
2024-04-22,Expense,Shopping,18313,Wallet,Apr-2024
2024-05-17,Investment,Gold,15179,Bank,May-2024
2024-09-25,Expense,Dining,12522,Bank,Sep-2024
2024-02-29,Expense,Utilities,9989,Credit Card,Feb-2024
2024-12-12,Expense,Dining,3915,Credit Card,Dec-2024
2024-05-02,Expense,Shopping,2991,Credit Card,May-2024
2024-10-21,Expense,Utilities,17072,Bank,Oct-2024
2024-10-15,Expense,Entertainment,5636,UPI,Oct-2024
2024-06-19,Investment,FD,36555,Credit Card,Jun-2024
2024-09-18,Expense,Transport,12838,UPI,Sep-2024
2024-05-25,Investment,FD,43096,Bank,May-2024
2024-12-10,Expense,Shopping,13276,UPI,Dec-2024
2024-06-02,Income,Bonus,62790,Credit Card,Jun-2024
2024-09-20,Income,Freelance,7506,Bank,Sep-2024
2024-10-14,Income,Interest,47632,UPI,Oct-2024
2024-10-05,Expense,Rent,9367,Credit Card,Oct-2024
2024-07-04,Expense,Shopping,9586,Bank,Jul-2024
2024-03-17,Expense,Dining,8121,Bank,Mar-2024
2024-02-27,Expense,Shopping,12537,Credit Card,Feb-2024
2024-06-11,Expense,Dining,14538,Bank,Jun-2024
2024-12-24,Investment,Gold,3107,Wallet,Dec-2024
2024-03-23,Expense,Shopping,9556,Credit Card,Mar-2024
2024-08-08,Expense,Shopping,716,UPI,Aug-2024
2024-01-10,Expense,Groceries,11855,Wallet,Jan-2024
2024-05-26,Expense,Rent,11946,Bank,May-2024
2024-11-06,Expense,Rent,18533,Bank,Nov-2024
2024-01-17,Expense,Dining,7976,Wallet,Jan-2024
2024-06-10,Investment,Mutual Funds,5066,Credit Card,Jun-2024
2024-10-20,Expense,Utilities,1238,Wallet,Oct-2024
2024-05-27,Expense,Groceries,3460,Bank,May-2024
2024-11-15,Income,Salary,82877,UPI,Nov-2024
2024-08-07,Expense,Transport,16385,Credit Card,Aug-2024
2024-10-06,Investment,Gold,34950,UPI,Oct-2024
2024-01-10,Expense,Dining,11513,Bank,Jan-2024
2024-11-10,Expense,Entertainment,5410,Credit Card,Nov-2024
2024-09-23,Expense,Groceries,9756,UPI,Sep-2024
2024-05-15,Income,Freelance,61388,Credit Card,May-2024
2024-07-15,Expense,Utilities,8590,Wallet,Jul-2024
2024-06-11,Expense,Dining,10421,Credit Card,Jun-2024
2024-08-19,Expense,Entertainment,1212,Wallet,Aug-2024
2024-05-26,Expense,Utilities,13432,Wallet,May-2024
2024-09-14,Expense,Groceries,16709,Credit Card,Sep-2024
2024-06-25,Expense,Rent,5948,Wallet,Jun-2024
2024-05-09,Expense,Rent,6580,Wallet,May-2024
2024-01-05,Investment,Mutual Funds,37311,Bank,Jan-2024
2024-08-20,Expense,Dining,4302,Bank,Aug-2024
2024-06-19,Expense,Rent,1556,Bank,Jun-2024
2024-10-30,Expense,Groceries,11365,Bank,Oct-2024
2024-09-05,Income,Interest,20841,Credit Card,Sep-2024
2024-06-28,Expense,Utilities,7104,Credit Card,Jun-2024
2024-07-11,Investment,Gold,10655,Bank,Jul-2024
2024-04-22,Expense,Groceries,8053,Credit Card,Apr-2024
2024-10-04,Expense,Utilities,7764,UPI,Oct-2024
2024-09-12,Expense,Rent,14219,Bank,Sep-2024
2024-02-15,Investment,Mutual Funds,30669,Wallet,Feb-2024
2024-11-17,Expense,Shopping,14223,UPI,Nov-2024
2024-08-24,Expense,Utilities,6298,Credit Card,Aug-2024
2024-03-15,Expense,Dining,10228,Credit Card,Mar-2024
2024-09-19,Expense,Shopping,18005,Bank,Sep-2024
2024-08-08,Expense,Groceries,6676,Bank,Aug-2024
2024-01-07,Expense,Shopping,3337,Credit Card,Jan-2024
2024-01-27,Income,Interest,73001,UPI,Jan-2024
2024-06-19,Expense,Shopping,11021,Wallet,Jun-2024
2024-07-03,Expense,Shopping,18318,Bank,Jul-2024
2024-12-20,Expense,Dining,16711,UPI,Dec-2024
2024-04-18,Expense,Groceries,19902,Bank,Apr-2024
2024-12-03,Expense,Entertainment,5157,Bank,Dec-2024
2024-09-30,Expense,Entertainment,10826,Credit Card,Sep-2024
2024-03-04,Expense,Dining,10369,UPI,Mar-2024
2024-04-26,Income,Freelance,82210,Credit Card,Apr-2024
2024-10-14,Investment,Gold,9967,Wallet,Oct-2024
2024-01-05,Investment,Stocks,42471,Bank,Jan-2024
2024-08-05,Expense,Rent,12531,UPI,Aug-2024
2024-05-16,Expense,Rent,1120,Wallet,May-2024
2024-07-02,Expense,Groceries,19443,Bank,Jul-2024
2024-09-19,Expense,Dining,1078,Wallet,Sep-2024
2024-09-14,Investment,FD,39075,UPI,Sep-2024
2024-11-06,Expense,Rent,16462,UPI,Nov-2024
2024-02-28,Investment,Gold,19202,UPI,Feb-2024
2024-04-27,Expense,Shopping,11374,Credit Card,Apr-2024
2024-12-11,Investment,FD,14083,Credit Card,Dec-2024
2024-02-19,Investment,Stocks,8946,UPI,Feb-2024
2024-01-23,Expense,Utilities,5233,Bank,Jan-2024
2024-03-05,Expense,Groceries,8993,UPI,Mar-2024
2024-11-01,Income,Bonus,47904,UPI,Nov-2024
2024-01-07,Expense,Groceries,17467,Credit Card,Jan-2024
2024-02-26,Expense,Utilities,19821,UPI,Feb-2024
2024-12-05,Expense,Dining,7931,Credit Card,Dec-2024
2024-09-14,Investment,Gold,27113,Bank,Sep-2024
2024-11-23,Income,Interest,62849,UPI,Nov-2024
2024-10-03,Income,Bonus,14953,Bank,Oct-2024
2024-06-10,Expense,Groceries,6142,Bank,Jun-2024
2024-07-09,Expense,Groceries,8097,UPI,Jul-2024
2024-01-13,Expense,Rent,4357,Wallet,Jan-2024
2024-08-06,Investment,Stocks,25978,Wallet,Aug-2024
2024-01-29,Income,Interest,17186,Bank,Jan-2024
2024-04-14,Income,Interest,90207,Bank,Apr-2024
2024-04-08,Expense,Dining,12183,Credit Card,Apr-2024
